OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18020202,2/3/18,18:28:00,2/3/18,19:53:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,OFFCAM,75/85 Northbound,,,,,,1
18020222,1/24/18,12:00:00,1/24/18,12:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,,,,Fifth Street @ Techwood Drive NW,33.776916,-84.39212,1
18020356,2/20/18,17:00:00,2/22/18,12:00:00,2205,Burglary - No Forced Entry -NonResidence,Further Investigation,,ONCAM,Z2,Library-East Tower (Crosland)   100   Z2,241,,Bobby Dodd Way NW,33.77447174,-84.39492617,1
18020361,2/19/18,21:00:00,2/19/18,21:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Brittain Recreation Facility,649,,Techwood Drive NW,,,1
18020362,2/22/18,15:00:00,2/22/18,16:20:00,2317,Larceny - Bicycle,Further Investigation,,ONCAM,Z4,CRC,750,,Ferst Drive NW,,,1
18020376,2/25/18,15:55:00,2/25/18,16:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,NAA South,120,,North Avenue  NW,33.76932,-84.39182,1
18020407,2/28/18,18:28:00,2/28/18,18:54:00,9999V,,Closed/Cleared,,ONCAMRES,Z1,Family Apartments,251,,Tenth Street  NW,,,1
18020389,2/26/18,15:40:00,2/26/18,17:19:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,Z1,Ferst Drive  NW and Cherry Street  NW,,,,33.77884514,-84.39847658,1
18020401,2/28/18,2:26:00,2/28/18,3:09:00,9999F,,Further Investigation,,ONCAMRES,Z2,NAA South  191  Z2,120,,North Avenue NW,33.76932,-84.39182,1
18030430,3/2/18,17:45:00,3/2/18,17:46:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Chandler Stadium,255,,Ferst Drive NW,,,1
18030435,3/3/18,2:15:00,3/3/18,6:00:00,3605,Indecent Exposure,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Parking Office (PTS),828,,West Peachtree Street  NW,,,1
18020391,2/26/18,15:00:00,2/26/18,15:30:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z4,Student Health Center,740,,Ferst Drive NW,,,1
18020412,2/28/18,22:04:00,2/28/18,22:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Maulding Residence Hall,501,,Sixth Street  NW,33.777007,-84.405706,1
18020295,2/17/18,2:42:00,2/17/18,3:25:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAMRES,Z4,Freeman Residence Hall,835,,McMillan Street NW,,,1
18020335,2/21/18,19:29:00,2/21/18,20:56:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,,,,Northside Drive NW @ 10th Street NW,,,1
18020390,2/26/18,14:30:00,2/26/18,14:40:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z3,Student Center,351,,Ferst Drive NW,33.77413608,-84.39881802,1
18010042,1/10/18,9:30:00,1/10/18,9:31:00,1313,Simple Assault/Battery,Inactive,,NONCAM,Z2,,155,,North Avenue NW,,,1
18010077,1/8/18,14:30:00,1/16/18,16:46:00,2605,Fraud - Illegal Use of Credit/Financial Transaction Cards,Closed/Cleared,,ONCAM,Z1,,,,,,,1
18010153,1/28/18,3:15:00,1/28/18,3:29:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,PUB,Z1,Ferst Drive  NW @ Fowler Street  NW,,,,,,1
18010173,1/31/18,10:00:00,1/31/18,10:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Campus Recreation Center,750,,Ferst Drive  NW,,,1
18020185,2/1/18,17:40:00,2/1/18,18:35:00,9999V,,Further Investigation,,PUB,Z2,,,,North Avenue @ Techwood Drive NW,,,1
18020236,2/9/18,22:32:00,2/9/18,22:50:00,3562,Marijuana - Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street NW,,,1
18020281,2/16/18,4:38:00,2/16/18,4:38:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCLERY,OFFCAM,Westin Hotel,210,,Peachtree Street NW,,,1
18020294,2/17/18,2:17:00,2/17/18,2:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,,PUB,OFFCAM,Fourteenth Street  NW @ Techwood Drive  NW,,,,,,1
18020404,2/7/18,18:00:00,2/7/18,19:00:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z1,Ford Envir. Science & Technology,311,,Ferst Drive NW,,,1
18TEST,2/14/18,21:30:00,2/14/18,21:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,,,,,,,2
18010008,1/2/18,18:54:00,1/2/18,18:54:00,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Techwood Drive,,,Techwood Drive / Bobby Dodd Way,,,1
18010031,1/9/18,11:20:00,1/9/18,12:00:00,2310,Larceny - From Mail ,Inactive,,ONCAM,Z2,Barnes and Noble Bookstore,48,,Fifth Street NW,33.77668,-84.38863,1
18010086,1/13/18,8:30:00,1/13/18,18:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,NAA North Parking Deck   191   Z2,120,,North Avenue NW,33.7706,-84.391865,1
18010128,1/24/18,17:48:00,1/24/18,19:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Bobby Dodd Stadium,155,,North Avenue NW,33.771865,-84.393316,1
18010148,1/27/18,10:39:00,1/27/18,11:15:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAMRES,Z1,Family Apartments   180   Z1,251,,Tenth Street NW,33.78238002,-84.39595556,1
18010169,1/29/18,0:00:00,1/30/18,22:13:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z2,Edge Athletic Center,150,,Bobby Dodd Way NW,,,1
18020199,1/25/18,9:00:00,2/3/18,12:53:00,2317,Larceny - Bicycle,Inactive,,ONCAM,Z2,,281,,Ferst Drive,33.77343233,-84.39100012,1
18020201,2/3/18,17:45:00,2/3/18,18:01:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Ferst Drive  NW @ Atlantic Drive  NW,,,,,,1
18020221,2/7/18,19:04:00,2/7/18,19:09:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,O'Keefe Building,151,,Sixth Street  NW,,,1
18020241,2/11/18,2:59:00,2/11/18,3:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z2,Techwood Drive NW @ North Avenue NW,,,,,,1
18020358,2/23/18,13:00:00,12/23/18,13:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Gilbert Price Library,266,,Fourth Street  NW,,,1
18030416,3/1/18,10:57:00,3/1/18,10:57:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.77413608,-84.39881802,1
18010001,1/1/18,2:00:00,1/1/18,3:00:00,2204,Burglary - No Forced Entry - Residence,Closed/Cleared,Cleared by Arrest,ONCAMRES,Z3,Pi Kappa Phi Fraternity,220,,Ferst Drive  NW,33.781552,-84.404199,1
18010021,1/7/18,0:36:00,1/7/18,0:45:00,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,Tenth Street  NW and Fowler Street  NW,,,,,,1
18010033,1/9/18,19:57:00,1/9/18,21:30:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Schellar College of Business,800,,W. Peachtree Street  NE,,,1
18010041,1/10/18,16:44:00,1/10/18,17:05:00,9999V,,Closed/Cleared,,ONCAM,Z2,,,,,,-84.38863,1
18010098,1/19/18,22:42:00,1/20/18,0:45:00,9999F,,Closed/Cleared,,ONCAMRES,Z4,Folk Residence Hall,531,,Turner Place NW,,,1
18010115,1/23/18,7:45:00,1/23/18,8:30:00,2308,Larceny - From Building,Closed/Cleared,Unfounded,ONCAMRES,Z2,Glenn Residence Hall   16   Z2,118,,Bobby Dodd Way NW,33.77342207,-84.3916112,1
18010131,1/25/18,8:15:00,1/25/18,9:20:00,9999,Non-Crime (not reported to state),Further Investigation,,PUB,Z2,Fifth Street Bridge   385   Z2,,,Fifth Street NW @ I-75/85,33.776895,-84.390873,1
18010152,1/28/18,1:16:00,1/28/18,2:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.77413608,-84.39881802,1
18020233,2/9/18,17:18:00,2/9/18,17:50:00,3562,Marijuana - Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments - South,120,,North Avenue  NW,33.76932,-84.39182,1
18020307,2/19/18,13:00:00,2/19/18,13:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Libary,704,,Cherry Street NW,,,1
18020347,2/22/18,19:06:00,2/22/18,22:18:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,North Avenue  NW  at Spring Street  NW,,,,,,1
18020368,2/24/18,0:41:00,2/24/18,2:45:00,5015,Failure To Appear,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Waffle House,66,,Fifth Street NW,,,1
18020381,2/23/18,20:00:00,2/25/18,13:00:00,2399,Larceny Offense Free Text,Further Investigation,,ONCAMRES,Z4,Maulding Residence Hall,501,,Sixth Street  NW,33.777007,-84.405706,1
18020371,2/23/18,23:00:00,2/24/18,12:53:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z3,Boggs Lot,770,,State Street  NW,33.77895641,-84.40131466,1
18020374,2/25/18,0:23:00,2/25/18,2:29:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,PUB,Z1,,,,,33.78153,-84.393571,1
18020399,2/27/18,14:00:00,2/27/18,18:30:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z1,Ford Envir. Science & Technology,311,,Ferst Drive NW,,,1
18010094,1/18/18,15:00:00,1/19/18,14:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Boggs Building,770,,State Street  NW,,,1
18010137,1/25/18,22:16:00,1/25/18,22:25:00,3562,Marijuana - Possession of,Closed/Cleared,Prosecution Declined,PUB,OFFCAM,Northside Drive  NW @ 14th Street  NW,,,,,,1
18020188,2/1/18,8:00:00,2/2/18,7:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,O'keefe West Lot,151,,Sixth Street,,,1
18020200,2/3/18,18:35:00,2/3/18,,2902,Damage to Property - Private,Further Investigation,,ONCAM,Z1,O'Keefe Building,151,,Sixth Street  NW,33.7738,-84.3945,1
18020209,2/5/18,17:50:00,2/5/18,17:53:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Scheller College of Business   172   Z2,800,,West Peachtree Street NW,33.77628053,-84.38801865,1
18020214,2/6/18,18:00:00,2/6/18,18:42:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Technology Square Research Building,85,,Fifth Street NW,,,1
18020220,2/7/18,18:36:00,2/7/18,18:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Howey Physics Building,800,,Atlantic Drive  NW,,,1
18020229,2/9/18,10:47:00,,,4899,Obstructing Police Offense Free Text,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Barnes and Noble Bookstore 172  Z2,48,,Fifth Street  NW,33.77668,-84.38863,1
18020240,2/11/18,0:22:00,,,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,Woodruff Residence Hall   116   Z4,890,,Curran Street NW,33.77910743,-84.40662487,1
18020245,2/10/18,12:00:00,2/10/18,18:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,West Village Dining Commons,532,,Eighth Street  NW,,,1
18020249,2/12/18,0:49:00,2/12/18,1:34:00,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,NONCLERY,Z1,Fourteenth Street @ Techwood Drive,,,,,,1
18020298,2/17/18,20:10:00,2/17/18,20:21:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z1,Ferst Drive  NW and Fowler Street  NW,,,,33.77895641,-84.40131466,1
18010032,1/9/18,13:00:00,1/9/18,16:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Clough Commons,266,,4th Street NW,,,1
18010117,1/23/18,14:35:00,1/23/18,14:55:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Delta Sigma Phi House,165,,Fourth Street,,,1
18020189,1/31/18,10:00:00,1/31/18,10:00:00,9999,Non-Crime (not reported to state),Inactive,,ONCAM,Z2,Techwood Drive @ Bobby Dodd Way  Z2,,,Techwood Drive @ Bobby Dodd Way NW,33.773942,-84.392003,1
18020204,2/4/18,2:19:00,2/4/18,2:28:00,5314,Loitering Violation,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,North Avenue Apartments,120,,North Avenue  NW,33.77131,-84.392067,1
18020224,2/8/18,13:00:00,2/8/18,13:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z1,,,,14th Street at State,33.77895641,-84.40131466,1
18020244,2/11/18,19:00:00,2/11/18,19:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z1,Ethel Street @ Hemphill Avenue,,,,,,1
18020329,2/20/18,23:43:00,2/21/18,0:54:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,West Peachtree Street  NW at North Avenue  NW,,,,,,1
18010080,1/16/18,23:30:00,1/17/18,1:29:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z3,,,,,,,1
18010095,1/17/18,17:00:00,1/17/18,18:00:00,5309,Harassing Communication,Closed/Cleared,Prosecution Declined,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street  NW,33.77895641,-84.40131466,1
18010109,1/21/18,20:12:00,1/21/18,20:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,North Avenue Apartments - East,120,,North Avenue  NW,,,1
18010129,1/24/18,22:09:00,1/24/18,23:48:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Success Center,219,,Uncle Heinie Way  NW,33.77244111,-84.39395201,1
18010149,1/27/18,22:27:00,1/27/18,23:45:00,2699,Fraudulent Activity Offense Free ,Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,Northside Drive  NW @ 8th Street  NW,,,,,,1
18020262,2/13/18,16:03:00,2/13/18,20:53:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Pettit Microelectronics Research Ctr. (MiRC) 95  Z3,791,,Atlantic Drive NW,33.77661416,-84.39732991,1
18020297,2/17/18,19:23:00,2/17/18,20:15:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,Northside Drive @ Ethel Street,,,,,,1
18030439,3/3/18,22:44:00,3/3/18,22:55:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,Williams Street  NW and Tenth Street  NW,,,,,,1
18020384,2/26/18,11:14:00,2/26/18,11:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Fulmer Residence Hall,871,,McMillan Street NW,33.77864773,-84.40388382,1
18020403,2/28/18,13:00:00,2/28/18,13:30:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,,Z4,Ferst Drive @ Regents Drive,,,,,,2
18030428,3/2/18,17:20:00,3/2/18,17:25:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Clough Undergraduate Learning Commons,266,,Fourth Street  NW,,,1
18020300,2/17/18,15:50:00,2/17/18,22:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Instructional Center,759,,Ferst Drive,,,1
18020305,2/19/18,2:16:00,2/19/18,2:44:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z1,Center Street Apartments,939,,Hemphill Avenue NW,,,1
18020320,2/20/18,11:30:00,2/20/18,11:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library,704,,Cherry Street  NW,,,1
18020325,2/20/18,17:15:00,2/20/18,17:25:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z3,Cherry Emerson Building,310,,Ferst Drive NW,33.77793148,-84.39720701,1
18030420,3/1/18,23:58:00,3/1/18,23:59:00,5499,Traffic Offense (describe offense),Closed/Cleared,,PUB,Z2,North Avenue NW @ Cherry Street NW,,,,,,1
18030425,3/2/18,11:48:00,3/2/18,12:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.77895641,-84.40131466,1
18020190,2/1/18,15:32:00,2/1/18,21:11:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z1,Engineered Biosystems Building (EBB)   195   Z1,950,,Atlantic Drive NW,33.780819,-84.397985,1
18020250,2/12/18,7:10:00,2/12/18,7:19:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Nelson and Shell Undergraduate Living Center  64   Z4,580,,Turner Place NW,33.77817418,-84.40548218,1
18020255,2/12/18,11:30:00,2/12/18,14:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
18020275,2/15/18,16:38:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,Unfounded,ONCAM,Z2,Economic Development Building   173   Z2,760,,Spring Street  NW,33.77549556,-84.38908326,1
18020331,2/15/18,12:00:00,2/15/18,13:30:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z2,Georgia Tech Libary,266,,Fourth Street,33.77895641,-84.40131466,1
18020333,2/21/18,16:29:00,2/21/18,17:00:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,North Avenue  NW and Tech Parkway  NW,,,,,,1
18020350,2/22/18,23:36:00,2/22/18,23:48:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,PUB,Z3,Cherry Emerson Building,310,,Ferst Drive  NW,33.77793148,-84.39720701,1
18020400,2/27/18,23:43:00,2/28/18,0:30:00,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,Sixteenth Street  NW @ Northside Drive  NW,,,,,,1
18010014,1/4/18,16:07:00,1/4/18,16:07:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Tech Green @ Campanile,,,,33.77464,-84.39732,1
18010076,1/16/18,12:53:00,1/16/18,12:53:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,,Student Center   104   Z3,351,,Ferst Drive NW,33.77413608,-84.39881802,1
18020186,2/1/18,21:27:00,2/1/18,21:45:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,Northside Drive  NW @ Sixteenth Street  NW,,,,,,1
18020193,2/2/18,19:43:00,2/2/18,19:44:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z1,Tenth Street  NW @ Hemphill Avenue  NW,,,,,,1
18020218,2/7/18,11:15:00,2/7/18,11:20:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.77413608,-84.39881802,1
18020308,2/19/18,13:35:00,2/19/18,13:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,College of Computing,800,,Atlantic Drive NW,,,1
18020328,2/20/18,22:44:00,2/20/18,23:01:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,Tenth Street NW / Fowler Street NW,,,,,,1
18020348,2/22/18,21:02:00,2/22/18,21:03:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Center Commons,351,NW,Ferst Drive NW,,,1
18020385,2/26/18,11:19:00,2/26/18,11:19:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,O'Keefe Building,151,,Sixth Street  NW,33.7738,-84.3945,1
18010028,1/8/18,21:30:00,1/9/18,21:45:00,2317,Larceny - Bicycle,Further Investigation,,NONCAM,Z2,Beta Theta Pi Fraternity   303   Z2,764,,Fowler Street NW,33.77551971,-84.39447575,1
18010048,1/11/18,18:53:00,1/11/18,19:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z1,Center Street Apartments - North,939,,Hemphill Avenue  NW,33.78005124,-84.40198786,1
18010091,1/18/18,18:00:00,1/18/18,18:04:00,5499,Traffic Offense (describe offense),Closed/Cleared,,ONCAM,Z4,Tech Parkway  NW @ State Street  NW,,,,33.773073,-84.399196,1
18020197,2/2/18,19:00:00,2/3/18,9:15:00,2902,Damage to Property - Private,Inactive,,ONCAM,Z1,Family Apartments Parking Deck (specify level),251,,Tenth Street,,,1
18020313,2/19/18,16:42:00,2/19/18,16:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Howey Physics Building,800,,Atlantic Drive NW,33.77742295,-84.39846714,1
18020359,2/23/18,13:00:00,2/23/18,13:09:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z2,Beringause Building,879,,Hemphill Avenue  NW,33.77895641,-84.40131466,1
18020378,2/25/18,16:30:00,2/25/18,16:32:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Center,351,,Ferst Drive NW,,,1
18020379,2/25/18,17:02:00,2/25/18,19:05:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Georgia Tech Hotel & Conference Center,800,,Spring Street  NW,33.77634325,-84.38930792,1
18020397,2/13/18,16:00:00,2/13/18,17:00:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z2,Beringause Building,879,,Hemphill Avenue  NW,,,1
18010052,1/12/18,10:45:00,1/12/18,10:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,West Village,532,,8th St NW ,,,1
18010093,1/16/18,22:00:00,1/16/18,22:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Peters Parking Deck,749,,Fowler Street NW,,,1
18010172,1/31/18,14:54:00,1/31/18,15:09:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Tenth Street  NW @ Greenfield Street  NW,,,,,,1
18020178,2/1/18,14:48:00,2/1/18,14:59:00,9999V,,Inactive,,ONCAM,Z2,Administration (Tech Tower),225,,North Avenue NW,,,1
18020237,2/9/18,22:56:00,2/9/18,23:12:00,5211,Possession of Explosives/Fireworks,Closed/Cleared,Prosecution Declined,NONCAM,Z2,Beta Theta Pi Fraternity,764,,Fowler Street  NW,33.77551971,-84.39447575,1
18020369,2/24/18,3:08:00,2/24/18,4:00:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,,,,Fifth Street NW / Williams Street NW,,,1
18020382,2/25/18,23:01:00,2/26/18,,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,NONCLERY,Z2,Spring Street  NW @ Peachtree Place  NW,,,,,,1
18020409,2/28/18,20:20:00,2/28/18,21:15:00,4803,Making A False Report/Giving False Information,Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,Northside Drive  NW @ Fourteenth Street  NW,,,,33.786249,-84.407383,1